
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
     267   0.15000E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     268   0.15677E-01 0.82626E-02  0.0000        0.00    0.00    0.00
     269   0.16365E-01 0.82488E-02  0.0000        0.00    0.00    0.00
     270   0.17059E-01 0.82303E-02  0.0000        0.00    0.00    0.00
     271   0.17730E-01 0.82554E-02  0.0000        0.00    0.00    0.00
     272   0.18308E-01 0.83323E-02  0.0000        0.00    0.00    0.00
     273   0.18215E-01 0.77600E-02  0.0000        0.00    0.00    0.00
     274   0.18200E-01 0.70751E-02  0.0000        0.00    0.00    0.00
     275   0.18217E-01 0.63804E-02  0.0000        0.00    0.00    0.00
     276   0.18238E-01 0.56901E-02  0.0000        0.00    0.00    0.00
     277   0.18252E-01 0.50072E-02  0.0000        0.00    0.00    0.00
     278   0.18244E-01 0.43238E-02  0.0000        0.00    0.00    0.00
     279   0.18226E-01 0.36322E-02  0.0000        0.00    0.00    0.00
     280   0.18218E-01 0.29346E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     281   0.18257E-01 0.22572E-02  0.0000        0.00    0.00    0.00
     282   0.18332E-01 0.16927E-02  0.0000        0.00    0.00    0.00
     283   0.17760E-01 0.17847E-02  0.0000        0.00    0.00    0.00
     284   0.17075E-01 0.18003E-02  0.0000        0.00    0.00    0.00
     285   0.16369E-01 0.17637E-02  0.0000        0.00    0.00    0.00
     286   0.15685E-01 0.17469E-02  0.0000        0.00    0.00    0.00
     287   0.15008E-01 0.17380E-02  0.0000        0.00    0.00    0.00
     288   0.14333E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     289   0.13667E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     290   0.13000E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     291   0.12333E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     292   0.11667E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     293   0.11000E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     294   0.10333E-01 0.17320E-02  0.0000        0.00    0.00    0.00
     295   0.96666E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     296   0.90000E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     297   0.83334E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     298   0.76666E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     299   0.70000E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     300   0.63334E-02 0.17320E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     301   0.56666E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     302   0.50000E-02 0.17320E-02  0.0000        0.00    0.00    0.00
     303   0.43235E-02 0.17374E-02  0.0000        0.00    0.00    0.00
     304   0.36353E-02 0.17512E-02  0.0000        0.00    0.00    0.00
     305   0.29415E-02 0.17697E-02  0.0000        0.00    0.00    0.00
     306   0.22701E-02 0.17446E-02  0.0000        0.00    0.00    0.00
     307   0.16924E-02 0.16677E-02  0.0000        0.00    0.00    0.00
     308   0.17847E-02 0.22400E-02  0.0000        0.00    0.00    0.00
     309   0.18003E-02 0.29249E-02  0.0000        0.00    0.00    0.00
     310   0.17826E-02 0.36196E-02  0.0000        0.00    0.00    0.00
     311   0.17614E-02 0.43102E-02  0.0000        0.00    0.00    0.00
     312   0.17505E-02 0.49960E-02  0.0000        0.00    0.00    0.00
     313   0.17634E-02 0.56856E-02  0.0000        0.00    0.00    0.00
     314   0.17882E-02 0.63840E-02  0.0000        0.00    0.00    0.00
     315   0.18083E-02 0.70882E-02  0.0000        0.00    0.00    0.00
     316   0.17906E-02 0.77724E-02  0.0000        0.00    0.00    0.00
     317   0.25044E-02 0.75463E-02  0.0000        0.00    0.00    0.00
     318   0.32707E-02 0.76476E-02  0.0000        0.00    0.00    0.00
     319   0.39582E-02 0.76681E-02  0.0000        0.00    0.00    0.00
     320   0.46454E-02 0.76797E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     321   0.53263E-02 0.76868E-02  0.0000        0.00    0.00    0.00
     322   0.60000E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     323   0.66667E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     324   0.73333E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     325   0.80000E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     326   0.86667E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     327   0.93333E-02 0.76907E-02  0.0000        0.00    0.00    0.00
     328   0.10000E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     329   0.10667E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     330   0.11333E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     331   0.12000E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     332   0.12667E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     333   0.13333E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     334   0.14000E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     335   0.14667E-01 0.76907E-02  0.0000        0.00    0.00    0.00
     336   0.15351E-01 0.76825E-02  0.0000        0.00    0.00    0.00
     337   0.16045E-01 0.76680E-02  0.0000        0.00    0.00    0.00
     338   0.16737E-01 0.76455E-02  0.0000        0.00    0.00    0.00
     339   0.17509E-01 0.75452E-02  0.0000        0.00    0.00    0.00
     340   0.17590E-01 0.67605E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     341   0.17614E-01 0.60540E-02  0.0000        0.00    0.00    0.00
     342   0.17648E-01 0.53553E-02  0.0000        0.00    0.00    0.00
     343   0.17651E-01 0.46667E-02  0.0000        0.00    0.00    0.00
     344   0.17626E-01 0.39685E-02  0.0000        0.00    0.00    0.00
     345   0.17603E-01 0.32618E-02  0.0000        0.00    0.00    0.00
     346   0.17535E-01 0.24868E-02  0.0000        0.00    0.00    0.00
     347   0.16744E-01 0.23790E-02  0.0000        0.00    0.00    0.00
     348   0.16053E-01 0.23489E-02  0.0000        0.00    0.00    0.00
     349   0.15364E-01 0.23318E-02  0.0000        0.00    0.00    0.00
     350   0.14680E-01 0.23196E-02  0.0000        0.00    0.00    0.00
     351   0.14000E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     352   0.13333E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     353   0.12667E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     354   0.12000E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     355   0.11333E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     356   0.10667E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     357   0.10000E-01 0.23093E-02  0.0000        0.00    0.00    0.00
     358   0.93333E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     359   0.86667E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     360   0.80000E-02 0.23093E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     361   0.73333E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     362   0.66667E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     363   0.60000E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     364   0.53333E-02 0.23093E-02  0.0000        0.00    0.00    0.00
     365   0.46487E-02 0.23180E-02  0.0000        0.00    0.00    0.00
     366   0.39546E-02 0.23324E-02  0.0000        0.00    0.00    0.00
     367   0.32632E-02 0.23546E-02  0.0000        0.00    0.00    0.00
     368   0.24911E-02 0.24548E-02  0.0000        0.00    0.00    0.00
     369   0.24095E-02 0.32395E-02  0.0000        0.00    0.00    0.00
     370   0.23848E-02 0.39464E-02  0.0000        0.00    0.00    0.00
     371   0.23529E-02 0.46491E-02  0.0000        0.00    0.00    0.00
     372   0.23550E-02 0.53456E-02  0.0000        0.00    0.00    0.00
